key,cleaned_tokens,label,label2
k97,"may,police,found,scene,acid,attack,winger,shopping,criminal,investigation,department,director,zain,said,footage,shopping,suspect,touching,several,extracted,left,still,waiting,analysis,said,met,visiting,scene,shopping,today,said,police,able,identify,suspect,wearing,cap,capture,face,regarding,suspect,said,new,information,received,added,police,two,top,police,report,made,said,recent,made,public,believe,unverified,splashed,acid,shopping,body,face",Physical Hurt,Physical Hurt
k98,"may,police,inspector,guilty,court,today,another,officer,duty,abusive,early,week,k,asp,refusing,give,evidence,regarding,police,report,dang,may,also,abusive,disrespectful,towards,asp,place,time,made,section,penal,code,section,minor,act,deputy,public,prosecutor,offer,bail,lawyer,k,bail,health,family,magistrate,bail,set,june",Not applicable,Not applicable
k100,"may,man,prison,five,session,court,today,pleading,guilty,raping,daughter,age,gave,birth,sentence,upon,judge,nizam,said,accused,serious,crime,result,daughter,left,severe,psychological,father,take,care,done,opposite,aware,fact,victim,complaint,police,another,victim,must,felt,unsafe,home,period,said,according,charge,man,accused,intercourse,daughter,village,port,accordance,section,b,code,minimum,sentence,maximum,whipping,based,case,victim,made,police,report,accused,age,year,never,matter,anyone,mother,accused,case,made,complainant,come,forward,file,police,report,may,complainant,suspected,pregnant,gave,birth,august,hospital,accused,mother,handed,child,another,person,without,knowledge,father,four,unrepresented,lighter,sentence,ground,young,child,wife,health,deputy,public,prosecutor,m,court,sentence,accused,imprisonment,long,period,well,whipping,accused,serious,criminal,case,meanwhile,different,session,court,accused,wife,also,together,possession,yaba,weighing,g,pair,accused,place,according,section,dangerous,act,section,act,imprisonment,life,term,le,five,whipping,accused,guilty,wife,read,judge,deputy,public,prosecutor,handled,case,accused,lawyer,court,set,case",Sexual Harassment or Sexual Offences or Rape,Sexual Harassment or Sexual Offences or Rape
k101,"may,session,court,businessman,four,prison,today,found,guilty,deceiving,trading,legal,manager,causing,incur,loss,five,ago,judge,sentence,concluding,defence,raise,reasonable,doubt,case,amin,end,prosecution,proving,case,beyond,reasonable,doubt,therefore,accused,found,guilty,said,judge,court,handed,term,first,charge,term,second,third,concurrently,today,however,court,request,lawyer,khatri,stay,sentence,pending,appeal,high,court,bail,deputy,public,prosecutor,appropriate,sentence,considering,seriousness,involved,significant,financial,meanwhile,sought,fine,punishment,dependent,family,accused,legal,manager,coaxing,fictitious,company,company,transferred,sum,victim,without,misled,shopping,along,munshi,dang,june,section,penal,code,punishable,imprisonment,one,ten,whipping,liable,fine,last,year,accused,ordered,defend,three,total,prosecution,five,defence,accused,trial",Others,Others
k102,"may,session,court,man,prison,cane,raping,sexually,underage,niece,judge,punishment,today,guilty,five,court,accused,prison,one,count,rape,eight,prison,three,rape,cane,another,two,prison,two,police,supervision,sexual,assault,judge,ordered,prison,run,separately,ordered,accused,receive,maximum,cane,criminal,procedure,code,judge,said,court,sentence,taking,account,repeated,relationship,victim,guilty,plea,saved,court,time,according,charge,sheet,man,accused,raping,victim,four,time,march,may,last,year,two,separate,namely,restaurant,house,father,two,section,penal,code,prison,sentence,le,cane,also,accused,physical,sexual,assault,victim,house,last,year,charge,framed,section,sexual,act,deputy,public,prosecutor,mat,appropriate,sentence,seriousness,lesson,sexual,becoming,prevalent,accused,unrepresented,expressed,remorse,leniency,ground,look,elderly,mother",Sexual Harassment or Sexual Offences or Rape,Sexual Harassment or Sexual Offences or Rape
k103,"may,two,turtle,egg,gallows,court,appeal,mandatory,death,sentence,imprisonment,today,causing,death,colleague,break,fight,eight,ago,panel,three,led,sentence,court,unanimously,conviction,section,penal,code,murder,section,law,therefore,sentence,section,penal,code,set,aside,year,prison,sentence,starting,date,arrest,said,bench,respectively,lawyer,two,informed,court,defence,representation,amend,section,penal,code,section,law,agreed,year,prison,sentence,starting,date,arrest,also,agreed,upon,said,deputy,public,prosecutor,also,confirmed,matter,charge,framed,section,read,later,guilty,charge,two,accused,causing,death,also,turtle,egg,collector,front,sri,around,june,charge,framed,section,penal,code,maximum,prison,sentence,liable,fine,based,case,argument,man,another,turtle,egg,collector,regarding,division,area,beach,victim,scene,incident,tried,calm,repeatedly,hit,victim,face,stick,second,accused,victim,face,helmet,august,high,court,death,finding,defence,raise,reasonable,doubt,case,end,defence,case",Murder and Homicide,Murder and Homicide
k104,"may,court,may,case,man,accused,murdering,friend,mila,also,known,transfer,high,court,magistrate,set,date,deputy,public,prosecutor,informed,court,prosecution,state,prosecution,office,due,new,police,lawyer,accused,haikal,date,approximately,two,due,two,previous,march,haikal,murder,various,bali,abandoned,house,imam,tongkang,section,penal,code,death,penalty,imprisonment,death,sentence,liable,minimum,cane,upon,conviction,medium,single,mother,two,allegedly,leaving,residence,car,last,year,go,one,primary,disappearance,led,police,partial,human,remains,abandoned,residence,imam",Murder and Homicide,Murder and Homicide
k106,"may,police,received,report,woman,father,since,old,gave,birth,incident,port,port,district,police,chief,sham,said,preliminary,found,incident,year,house,village,according,aged,port,district,headquarters,investigation,victim,mother,even,though,complainant,gave,birth,two,one,birth,three,old,said,statement,today,said,found,criminal,five,day,starting,yesterday,case,section,b,incest",Not applicable,Others
k107,"may,federal,court,death,sentence,former,resort,housekeeper,prison,murdering,employer,five,pregnant,nearly,ago,application,review,death,sentence,revision,sentence,death,imprisonment,natural,life,temporary,jurisdiction,federal,court,act,panel,today,federal,court,singh,abu,decision,justice,also,ordered,given,cane,sentence,run,date,arrest,august,initially,found,guilty,death,high,court,federal,court,ordered,retrial,high,court,found,accused,guilty,death,murdering,room,beach,resort,august,lost,court,appeal,federal,court,respectively,deputy,public,prosecutor,application,commute,death,sentence,ground,deceased,five,pregnant,time,therefore,two,lost,lawyer,client,given,second,chance,old,time,expressed,remorse,according,case,accused,employed,deceased,maintenance,worker,housekeeper,said,disciplinary,often,deceased,eventually,however,deceased,stay,resort,looking,new,job,day,incident,husband,received,news,death,room,later,found,money,cell,digital,camera,missing,revealed,multiple,blunt,hard,object,head,police,two,men,three,day,later,stolen,led,police,recover,seven,goldsmith,shop,sold,august",Murder and Homicide,Murder and Homicide
k108,"may,high,court,upheld,conviction,year,prison,sentence,founder,teenage,girl,syndrome,judge,appeal,set,aside,conviction,sentence,session,court,may,last,year,court,reason,tamper,session,court,judge,therefore,conviction,sentence,safe,upheld,appeal,said,judge,may,session,court,judge,prison,finding,guilty,two,ordered,start,serving,sentence,immediately,application,stay,execution,sent,prison,serve,prison,sentence,judge,also,application,lawyer,stay,sentence,pending,appeal,verdict,court,appeal,judgment,said,court,found,body,proven,medical,accidental,court,satisfied,session,court,judge,thorough,assessment,prosecution,eyewitness,former,resident,fifth,prosecution,witness,expert,medical,victim,court,also,session,court,judge,err,concluding,based,evidence,appellant,responsible,physical,emotional,victim,judge,said,besides,testimony,testimony,close,friend,also,medical,evidence,consistently,sustained,victim,accidental,therefore,court,difficult,conclude,appellant,said,victim,child,testimony,prosecution,whole,narrative,victim,resulting,physical,emotional,court,found,defence,victim,one,scalding,inconsistent,narrative,evidence,prosecution,judge,said,expert,stated,victim,revealed,different,time,testimony,provided,expert,consistent,whereas,defense,single,hot,water,spillage,contradictory,court,found,nearly,given,appellant,petition,raised,session,court,trial,court,raised,appellant,defense,raise,reasonable,doubt,essence,judge,said,regarding,judge,said,based,deposition,court,found,evidence,appellant,confused,rendering,unable,defend,court,found,appellant,adequately,notified,outset,nature,case,concerning,extensive,prosecution,appellant,aware,confused,understood,involved,neglect,abuse,physically,emotionally,victim,court,also,satisfied,via,prosecution,appellant,prejudiced,whether,session,court,judge,judge,said,according,accused,teenage,girl,syndrome,causing,suffer,physical,emotional,condominium,unit,june,framed,section,child,act,maximum,penalty,imprisonment,fine,court,also,ordered,accused,sign,good,behaviour,bond,five,surety,bond,perform,community,service,within,six,serving,prison,sentence,deputy,public,handled,case,counsel,court,wearing,white,robe,light,green,speaking,press,lawyer,observer,regent,sultan,said,still,despite,said,based,clinical,currently,old,national,registration,department,social,welfare,department,obtain,identification,card,status",Physical Hurt,Physical Hurt
k109,"former,construction,company,manager,stabbing,time,six,ago,gallows,court,appeal,death,sentence,jail,rotan,today,panel,justice,unanimously,death,sentence,shah,high,court,jail,term,said,shah,high,court,err,decision,convict,merit,appeal,plea,insanity,time,incident,claim,proven,therefore,conviction,upheld,death,sentence,jail,term,said,ordered,serve,jail,sentence,date,arrest,march,shah,high,court,accused,death,finding,guilty,murdering,school,canteen,helper,rented,apartment,section,u,jelutong,shah,march,victim,found,dead,neck,five,body,four,stomach,three,chest,two,skull,lawyer,ka,client,insane,medication,time,incident,deputy,public,prosecutor,wee,plea,accused,medically,insane,normally,proceeding,accused,also,following,amendment,section,penal,code,court,sentence,accused,le,death,penalty,male,convict,shall,also,whipping,le,rotan",Murder and Homicide,Murder and Homicide
k111,"federal,court,death,sentence,former,storekeeper,jail,strangling,almost,ago,nizam,application,review,death,sentence,revision,sentence,death,imprisonment,natural,life,temporary,jurisdiction,federal,court,act,today,panel,chief,justice,tun,tuan,mat,federal,court,justice,decision,set,aside,death,sentence,substituted,year,jail,term,ordered,accused,serve,sentence,starting,date,arrest,found,guilty,high,court,shah,killing,colleague,crime,learning,going,marry,another,man,rented,house,court,appeal,federal,court,respectively,defence,accused,told,high,court,clerk,commit,suicide,drinking,poison,like,forced,drink,poison,first,causing,pas,said,woke,already,dead,ran,house,help,saying,love,man,instead,marry,however,wait,money,report,revealed,suffocation,due,strangulation,poison,found,body,lawyer,court,set,aside,death,sentence,substitute,year,jail,term,deputy,public,prosecutor,object,application",Drug Offences,Murder and Homicide
k112,"two,former,gallows,federal,panel,death,jail,murder,mechanic,ago,panel,chief,justice,tun,tuan,mat,federal,court,shah,review,revision,sentence,death,imprisonment,natural,life,temporary,jurisdiction,federal,court,act,today,duo,prison,three,ordered,serve,jail,date,arrest,court,deputy,public,prosecutor,request,uphold,death,sentence,two,former,said,case,rare,category,told,court,deceased,full,control,two,men,time,time,arrest,death,said,shot,execution,style,brought,open,space,field,road,victim,told,kneel,fired,three,head,close,range,stood,front,victim,however,lawyer,court,give,second,chance,suffering,chronic,disease,bound,admitted,several,time,said,royal,police,since,worked,police,force,since,done,mercy,court,meet,former,corporal,former,lance,corporal,death,shah,high,court,killing,lost,court,appeal,federal,court,overturn,death,according,case,victim,affair,wife,man,lodged,police,report,victim",Murder and Homicide,Murder and Homicide
k113,"information,committee,member,commonly,known,bard,session,court,today,issuing,seditious,related,casino,project,forest,city,guilty,charge,read,judge,accused,making,seditious,account,name,che,villa,charge,framed,section,c,sedition,act,act,maximum,fine,imprisonment,exceeding,three,found,guilty,deputy,public,daud,malik,prosecution,also,present,hold,watching,brief,bail,one,surety,addition,gag,order,issue,public,social,medium,platform,disposal,case,however,lower,bail,ground,client,wife,four,one,wife,currently,working,added,bail,prosecution,high,penalty,provided,sedition,act,client,also,accused,section,court,bail,set,one,surety,gag,order,applied,prosecution,specific,unconstitutional,according,article,freedom,discus,openly,according,law,said,lawyer,accused,bail,one,surety,court,gag,order,court,also,set,june,yesterday,session,court,two,issuing,defamatory,tarnish,good,name,majesty,sultan,king,however,guilty,two,read,judge",Others,Others
k115,"man,female,compatriot,six,half,prison,high,court,today,possessing,three,ago,judge,sentence,happy,guilty,charge,possessing,g,apartment,march,around,section,dangerous,act,punishable,life,imprisonment,minimum,five,prison,minimum,cane,lawyer,accused,minimum,sentence,basis,however,deputy,public,prosecutor,stringent,penalty,importance,public,interest,personal,given,gravity,also,sentence,serve,deterrent,also,similar",Firearm or Terrorism,Others
k117,"man,left,unconscious,facial,yesterday,police,chief,said,man,working,personal,driver,around,yesterday,said,preliminary,revealed,incident,victim,allegedly,made,lewd,towards,suspect,driving,vehicle,suddenly,stopped,front,toll,plaza,around,suspect,got,car,car,window,immediately,hit,fell,unconscious,suspect,also,car,door,right,side,loss,said,statement,today,said,victim,received,treatment,hospital,hematoma,right,eye,suspect,four,day,case,section,penal,code,intentionally,causing,injury,section,penal,code,mischief",Not applicable,Physical Hurt
k119,"police,investigation,paper,owner,x,account,name,making,insensitive,regarding,crash,two,rehearsal,flight,royal,navy,base,criminal,investigation,department,director,zain,said,investigation,paper,also,attorney,line,article,federal,constitution,said,mobile,phone,pro,used,make,post,also,investigation,classified,crime,investigation,unit,division,d,section,minor,act,section,penal,code,section,act,said,statement,today,also,advised,public,making,speculation,protect,sensitivity,everyone,exercise,better,sensitive,social,medium,especially,public,stern,action,taken,party,whose,might,disrupt,public,order,national,security,said,yesterday,medium,practitioner,lodged,police,report,action,taken,social,medium,user,made,insensitive,regarding,crash,near,navy,base",Others,Others
k120,"shah,unemployed,man,six,jail,three,whipping,session,court,today,guilty,seriously,woman,son,parang,sentence,judge,said,p,appropriately,action,although,guilty,plea,saved,court,time,however,court,considered,factor,frequency,robbery,besides,act,cruel,said,woman,son,chain,outlet,march,year,hand,head,section,penal,code,read,together,section,jail,term,fine,whipping,conviction,together,aged,however,guilty,court,yesterday,separate,ordered,three,given,one,stroke,whipping,guilty,robbing,convenience,store,section,year,section,penal,code,punishable,jail,fine,whipping,judge,ordered,serve,two,jail,consecutively",Physical Hurt,Physical Hurt
k121,"son,among,six,commission,assist,regarding,case,false,past,two,magistrate,ana,remand,order,starting,today,tomorrow,following,request,conduct,section,act,according,two,civil,office,state,office,also,along,various,civil,state,administration,office,office,six,aged,yesterday,said,said,case,document,forgery,making,false,project,question,carried,project,involved,maintenance,repair,supply,service,work,starting,worth,meanwhile,special,division,senior,director,confirmed,later,confirmed,son,leave,complete,investigation,informed,news,leave,discretion,thats,said,briefly,met,state,assembly,sitting,today",Not applicable,Not applicable
k122,"police,three,men,suspected,burning,kitten,motorcycle,parking,area,sri,ramal,baru,near,police,chief,said,incident,television,said,woman,lodged,police,report,yesterday,regarding,incident,police,footage,found,incident,around,footage,two,three,men,parking,area,pouring,fuel,body,setting,fire,watching,burn,said,statement,yesterday,added,resident,incident,quickly,water,kitten,complainant,complainant,kitten,around,area,finding,condition,immediately,sent,private,animal,clinic,currently,said,said,police,three,men,involved,actively,case,section,penal,code,mischief,towards,imprisonment,three,fine,said",Physical Hurt,Physical Hurt
k123,"two,mining,company,guilty,session,court,today,cheating,man,sale,purchase,sand,million,payment,seven,ago,see,chew,hoon,lee,together,already,court,common,intention,cheat,yee,meng,deceiving,business,sand,deception,hand,million,done,allegedly,hotel,august,charge,framed,section,penal,code,read,together,section,law,imprisonment,whipping,also,liable,fine,upon,conviction,deputy,public,prosecutor,bail,one,surety,accused,accused,surrender,court,disposal,meanwhile,lawyer,joy,w,two,accused,lower,bail,support,judge,bail,one,surety,accused,addition,surrender,court,report,nearest,police,station,month,disposal,court,set,may,mention",Scam,Scam
k124,"woman,splashed,hot,water,man,syndrome,lift,prison,default,jail,session,court,judge,handed,sentence,saw,guilty,causing,grievous,hurt,splashing,hot,water,promoter,ordered,serve,jail,sentence,today,voluntarily,causing,grievous,hurt,victim,splashing,hot,water,lift,apartment,section,penal,code,imprisonment,fine,whipping,upon,conviction,sentence,said,court,found,act,serious,inhumane,cruel,special,person,especially,provocation,latter,court,community,sentence,accused,serve,reminder,community,repeat,disabled,deputy,public,prosecutor,court,impose,severe,sentence,said,victim,back,body,neck,still,treatment,penang,hospital,lawyer,loo,national,legal,aid,foundation",Physical Hurt,Physical Hurt
k126,"oil,palm,farmer,session,court,today,making,threatening,post,yang,page,august,last,year,judge,handed,sentence,guilty,charge,court,also,ordered,accused,serve,six,jail,pay,fine,fine,man,making,transmission,threatening,yang,remove,prime,minister,profile,intent,annoy,august,last,year,post,later,seen,condominium,unit,tong,shin,day,charge,framed,section,act,punishable,section,act,maximum,fine,imprisonment,one,year,shall,day,continued,conviction,deputy,public,prosecutor,appropriate,punishment,accused,serve,lesson,accused,public,responsible,use,social,medium,however,unrepresented,leniency,provide,wife,four,schoolgoing,elderly,mother",Physical Hurt,Others
k127,"cattle,farmer,assistant,high,court,today,three,heroin,possessing,firearm,judge,abbas,wan,wan,daud,finding,prosecution,establish,prima,case,end,case,judgment,said,several,considered,evidence,related,acid,house,ownership,vehicle,front,house,rented,various,also,taken,evidence,found,firearm,therefore,court,accused,without,calling,enter,defence,said,according,first,second,jointly,accused,g,g,heroin,house,behind,lanas,framed,section,b,dangerous,act,penalty,section,b,death,life,imprisonment,cane,also,jointly,accused,possessing,revolver,place,date,section,penalty,act,deputy,public,prosecutor,led,prosecution,j,abu,wan,respectively",Firearm or Terrorism,Firearm or Terrorism
k128,"stall,trader,gallows,today,federal,court,death,sentence,prison,killing,man,nine,ago,panel,three,led,chief,justice,tun,tuan,mat,unanimously,review,section,penal,code,revision,sentence,death,imprisonment,natural,life,temporary,jurisdiction,federal,court,act,set,aside,death,sentence,handed,high,court,may,ordered,serve,year,jail,term,starting,date,arrest,nine,court,appeal,president,tan,sri,federal,court,judge,also,case,high,court,death,finding,guilty,section,penal,code,killing,scrap,metal,collector,house,decision,federal,court,upheld,death,sentence,lawyer,zain,said,case,appellant,victim,incident,near,house,however,deputy,public,prosecutor,court,uphold,sentence,crime,heinous,victim,left,die,scene,case,went,viral,social,medium,act,fend,robbery,group,save,posting,various,negative,authority,arresting,accused,case,among,today,federal,court,session,high,court,east,coast",Murder and Homicide,Murder and Homicide
k129,"consulting,former,administrative,executive,guilty,session,court,today,five,criminal,breach,trust,cheque,book,breach,trust,issuing,company,worth,bank,account,personal,use,accused,seek,education,plaza,june,section,penal,code,jail,term,one,liable,fine,whipping,upon,conviction,judge,bail,one,surety,set,may,mention,prosecution,counsel",Others,Others
k131,"court,appeal,set,three,day,may,hear,appeal,high,decision,sentence,six,former,initially,murdering,cadet,officer,prison,culpable,homicide,murder,lawyer,poh,said,appeal,hearing,set,may,may,day,court,also,hear,appeal,high,decision,sentence,five,six,former,three,prison,told,press,case,came,mention,today,panel,led,judge,request,file,appeal,petition,outside,time,limit,deputy,public,prosecutor,object,two,former,aged,proceeding,high,court,six,namely,mad,hakeem,jail,found,guilty,culpable,homicide,murder,six,accused,five,murder,section,penal,code,mandatory,death,penalty,upon,conviction,hakeem,murder,section,act,similar,sentence,however,decision,judge,said,court,found,accused,guilty,section,penal,code,causing,deceased,intent,murder,jail,term,shall,also,liable,fine,upon,conviction,court,also,five,accused,except,finding,guilty,previously,charge,end,case,hafiz,hakim,zain,mala,hakim,ashraf,ady,two,dormitory,block,may,may,hospital,june",Murder and Homicide,Murder and Homicide
k132,"court,appeal,year,jail,term,former,transporter,physical,sexual,assault,two,underage,panel,appeal,lower,jail,sentence,decision,today,justice,appeal,merit,said,sexual,rampant,court,also,upheld,high,court,man,justice,said,court,declined,reduce,number,man,although,law,convict,may,whipped,maximum,time,added,court,leave,prison,man,aged,convenience,store,car,park,religious,school,june,june,guilty,seven,sexually,older,sister,session,court,run,concurrently,also,ordered,given,man,also,jail,three,sexual,assault,younger,sister,ordered,given,another,nine,cane,run,concurrently,session,court,ordered,year,jail,term,commence,man,serving,year,jail,older,sister,ordered,serve,sentence,date,arrest,june,last,year,high,court,reduced,jail,sentence,one,three,cane,three,however,high,court,judge,said,make,difference,jail,run,concurrently,lawyer,daud,man,deputy,public,prosecutor,wee,prosecution",Sexual Harassment or Sexual Offences or Rape,Sexual Harassment or Sexual Offences or Rape
k134,"man,guilty,session,court,today,two,trading,six,possessing,hotel,last,month,shalom,made,plea,read,judge,abu,trading,x,serial,number,sig,serial,number,c,cougar,serial,number,gen,serial,number,c,smith,spring,field,ma,serial,number,cougar,f,serial,number,c,allegedly,hotel,room,march,march,man,section,act,act,minimum,imprisonment,maximum,le,six,cane,found,guilty,second,charge,man,accused,possessing,ammunition,box,shell,shock,b,box,bullet,master,b,box,bullet,master,b,box,bullet,master,b,without,gun,permit,place,time,date,accordance,section,arm,act,act,maximum,imprisonment,seven,fine,exceeding,deputy,public,prosecutor,p,offer,bail,nonbailable,singh,accused,agreed,proposal,raise,court,fixed,may,case",Firearm or Terrorism,Firearm or Terrorism
k135,"police,looking,eight,men,involved,rioting,case,club,last,police,chief,said,eight,still,large,revealed,involved,riot,inspection,closed,circuit,television,based,police,confirmed,eight,men,involved,incident,still,large,said,statement,eight,lim,sen,tay,kim,dar,sri,lalang,yee,soon,tit,pinang,tan,chun,alma,penang,yin,bin,pandan,added,four,local,men,previously,court,four,guilty,bail,waiting,case,mention,said,information,come,forward,assist",Not applicable,Not applicable
k136,"man,shalom,possession,six,ammunition,hotel,last,month,session,court,morning,based,check,system,case,session,court,judge,today,medium,personnel,gathering,court,complex,morning,hotel,march,country,united,march,passport,preliminary,found,suspect,also,passport,came,hunt,kill,another,national,family,dispute,local,couple,suspected,man,session,court",Murder and Homicide,Murder and Homicide
k137,"police,four,men,involved,assault,car,driver,via,short,viral,video,linked,death,three,road,accident,yesterday,police,chief,confirmed,video,related,deadly,accident,car,driver,four,three,preliminary,revealed,assault,right,accident,case,investigation,section,penal,code,rioting,section,c,immigration,act,four,beat,driver,today,police,said,today,said,driver,car,seriously,wounded,except,head,injury,medium,driver,car,police,report,regarding,assault,today,yesterday,six,walking,perform,raya,three,car,along,accident,walking,nearby,mosque,proton,saga,car,driven,man,influence,meanwhile,said,driver,later,tested,positive,section,dangerous,act,court,tomorrow,simultaneously,suspect,four,day,assist,investigation,section,road,transport,act",Murder and Homicide,Murder and Homicide
k139,"five,among,seven,men,suspicion,robbing,foreigner,trillion,residence,tun,police,chief,said,following,police,report,victim,male,victim,female,companion,also,foreign,citizen,loss,approximately,worth,sum,cash,house,besides,two,former,policeman,civilian,police,officer,incident,police,three,men,result,four,men,suspected,involved,also,aged,said,statement,today,said,five,four,day,two,four,day,case,section,penal,code",Robbery or Theft,Robbery or Theft
k140,"retired,lecturer,public,university,million,investment,scam,recently,police,chief,m,said,man,lodged,police,report,march,victim,contact,individual,joining,investment,scheme,known,gold,last,year,individual,provided,investment,victim,five,eight,per,cent,capital,amount,within,day,time,investment,transaction,made,however,victim,suspected,failing,withdraw,despite,making,million,several,said,statement,today,case,section,penal,code,advised,public,cautious,fall,investment,social,medium,promising,easy,substantial,instead,check,like,bank,commission,ensure,investment,genuine,addition,mule,verify,status,bank,suspect,phone,making,said",Scam,Scam
k141,"two,guilty,session,court,today,robbing,local,man,paper,cutter,c,n,made,plea,read,judge,jointly,accused,armed,robbery,j,snatching,cash,various,worth,office,last,charge,framed,section,penal,code,read,together,section,penal,code,maximum,prison,sentence,whipping,deputy,public,prosecutor,bail,one,surety,accused,lawyer,lim,sin,guan,lawyer,singh,minimum,bail,accused,family,court,two,accused,bail,one,surety,set,may,mention",Robbery or Theft,Robbery or Theft
k142,"remand,order,man,six,extended,another,seven,day,today,police,tan,sri,said,extension,shalom,remand,due,end,today,allow,police,time,detailed,investigation,report,still,require,time,gather,firm,evidence,related,main,suspect,shalom,local,married,couple,also,last,currently,police,still,looking,main,behind,possession,six,ammunition,said,today,said,another,suspect,driver,shalom,police,bail,total,number,currently,two,men,one,man,added,man,special,operation,collaboration,criminal,investigation,department,contingent,special,branch,man,found,country,via,international,airport,march,passport,six,discovered,hotel,room,marine,gen,smith,sig,along,ammunition,inside,bag",Firearm or Terrorism,Firearm or Terrorism
k143,"three,men,two,session,court,today,robbing,petrol,station,worker,hammer,brother,along,friend,guilty,charge,read,judge,jointly,accused,armed,robbery,man,resulting,loss,cigarette,shop,cash,charge,framed,section,penal,code,read,together,section,prison,sentence,whipping,court,two,along,friend,guilty,robbing,girl,front,school,march,also,section,penal,code,deputy,public,prosecutor,prosecution,lawyer,unrepresented,court,bail,bail,one,surety,court,set,may,next,mention,date",Robbery or Theft,Robbery or Theft
k144,"department,store,security,chief,guilty,court,today,charge,giving,false,information,police,officer,accused,giving,inspector,police,report,intention,police,action,based,provided,information,allegedly,dang,district,police,headquarters,charge,framed,section,penal,code,maximum,penalty,imprisonment,six,found,guilty,deputy,public,prosecutor,bail,one,surety,lawyer,national,legal,aid,foundation,accused,lower,bail,due,thyroid,disease,family,magistrate,bail,one,surety,set,may,next,mention",Others,Others
k145,"police,secondary,school,allegedly,rioting,incident,last,march,police,chief,said,several,secondary,following,incident,student,sustained,body,face,beaten,group,men,preliminary,revealed,fight,broke,two,misunderstanding,old,incident,police,also,three,wooden,stick,used,incident,said,statement,today,police,investigating,case,section,penal,code,rioting,upon,conviction,law,imprisonment,five,fine,yesterday,minute,video,fight,went,viral,social,medium,grandmother,victim,police,report,incident,police,station,march",Physical Hurt,Physical Hurt
k146,"police,four,people,two,suspicion,man,last,week,police,tan,sri,said,four,aged,around,yesterday,four,yesterday,believe,assist,police,investigation,case,underway,identify,associated,previous,said,far,eight,people,main,suspect,man,added,remand,extension,application,local,married,couple,suspected,man,made,remand,period,tomorrow,previously,said,couple,aged,bazaar,last,seven,day,additionally,local,man,aged,also,driver,man,saying,man,six,hotel,march,said,man,march,passport,united,come,country,kill,compatriot,following,family,dispute,said,suspect,carried,act",Murder and Homicide,Murder and Homicide
k147,"commission,collaboration,royal,police,recently,cracked,swinger,operating,swinger,group,involved,married,public,statement,today,said,enforcement,division,discovered,swinger,group,possessed,significant,amount,pornographic,result,several,mobile,thumb,belonging,three,investigation,three,aged,found,act,x,formerly,twitter,platform,swinger,group,addition,selling,pornographic,profit,involved,short,video,clip,via,x,platform,ranging,obtain,link,telegram,application,said,case,section,act,act,maximum,fine,imprisonment,one,year,also,public,misuse,network,application,contravene,country",Sexual Harassment or Sexual Offences or Rape,Sexual Harassment or Sexual Offences or Rape
k148,"session,court,three,two,seven,day,jail,today,contempt,filing,false,evidence,witness,statement,civil,suit,case,four,ago,judge,ordered,two,mark,robin,g,client,singh,serve,sentence,effective,today,however,court,application,lawyer,singh,three,stay,execution,prison,sentence,waiting,appeal,high,court,said,court,found,intended,commit,contempt,court,filing,false,evidence,form,witness,statement,court,responsibility,mislead,court,dishonest,evidence,u,heavy,responsibility,burden,carrying,respective,based,law,justice,justice,respective,also,public,court,also,becomes,duty,defence,counsel,case,witness,statement,intentionally,dishonestly,knew,witness,statement,actual,statement,therefore,deliberately,misled,court,said,judge,added,matter,disclosed,trial,statement,used,trial,fairness,case,therefore,court,imprisonment,appropriate,suitable,reasonable,three,fine,appropriate,reflect,seriousness,said,also,lawyer,singh,applicant,last,year,court,appeal,appeal,found,three,guilty,contempt,court,filing,false,evidence,regarding,witness,statement,session,court,according,case,witness,statement,mark,robin,firm,without,communication,confirmation,meeting,march,affidavit,every,answer,witness,statement,importantly,neither,met,prior,filing,witness,statement,mark,robin,later,admitted,never,met,sought,confirmation,filing,witness,statement,blamed,said,solely,supposition,latter,content,witness,statement",Not applicable,Not applicable
k149,"public,university,lecturer,session,court,today,forged,vehicle,rental,six,ago,judge,fine,default,imprisonment,hafiz,plea,guilty,three,alternative,proceeding,set,mention,according,three,alternative,three,receipt,reason,know,forged,rental,payment,three,department,geology,faculty,science,university,may,framed,section,penal,code,section,law,imprisonment,two,fine,upon,conviction,also,six,alternative,forged,considered,take,consideration,tic,section,criminal,procedure,code,prosecution,handled,deputy,public,prosecutor,accused,lawyer,wan,wan",Others,Others
k150,"woman,guilty,session,court,today,charge,cheating,businessman,delivery,used,six,ago,cheating,deceiving,man,believing,provide,thus,make,payment,two,bank,belonging,allegedly,restaurant,shopping,june,charge,framed,section,penal,code,imprisonment,fine,upon,conviction,judge,woman,two,pregnant,fourth,child,bail,one,surety,also,ordered,surrender,passport,court,report,month,nearby,police,station,deputy,public,prosecutor,lawyer,hakim,accused,court,set,may,mention",Scam,Scam
k151,"thirteen,teenage,court,today,murder,male,student,vocational,college,last,month,plea,accused,case,jurisdiction,high,court,aged,jointly,murdering,vocational,college,last,march,following,day,march,charge,framed,section,penal,code,read,together,section,law,death,penalty,imprisonment,cane,upon,conviction,closed,proceeding,magistrate,accused,courtroom,prosecution,deputy,public,prosecutor,tao,amin,two,accused,unrepresented,court,set,may,mention,pending,chemist,autopsy",Murder and Homicide,Murder and Homicide
